,USD,GBP,EUR,JPY,USD_Return,USD_Volatility,GBP_Return,GBP_Volatility,EUR_Return,EUR_Volatility,JPY_Return,JPY_Volatility
2016-01-01,66.178,97.6059,71.8627,55.01,,,,,,,,
2016-01-02,66.178,97.6059,71.8627,55.01,0.0,,0.0,,0.0,,0.0,
2016-01-03,66.178,97.6059,71.8627,55.01,0.0,,0.0,,0.0,,0.0,
2016-01-04,66.4623,97.9455,72.3907,55.65,0.004295989603795958,,0.0034792978703130917,,0.007347344310748127,,0.011634248318487472,
2016-01-05,66.5418,97.9562,72.0315,55.71,0.0011961668494770983,,0.00010924442674742352,,-0.004961963346120424,,0.0010781671159030282,
2016-01-06,66.7165,97.773,71.7002,56.19,0.002625417406802999,,-0.0018702236305614406,,-0.004599376661599375,,0.008616047388260606,
2016-01-07,66.9115,97.8514,72.3782,56.78,0.002922815195641304,,0.0008018573634849258,,0.009456040568924573,,0.010500088983804945,
2016-01-08,66.669,97.4501,72.5292,56.32,-0.003624190161631513,,-0.004101116591075815,,0.002086263543442657,,-0.00810144417048253,
2016-01-09,66.669,97.4501,72.5292,56.32,0.0,,0.0,,0.0,,0.0,
2016-01-10,66.669,97.4501,72.5292,56.32,0.0,,0.0,,0.0,,0.0,
2016-01-11,66.7885,97.057,72.9264,56.93,0.0017924372646958009,,-0.004033859380339289,,0.0054764150162969205,,0.010830965909090828,
2016-01-12,66.8905,97.1518,72.7434,56.91,0.001527209025505849,,0.0009767456237055328,,-0.0025093793194235214,,-0.00035130862462684487,
2016-01-13,66.8394,96.603,72.4272,56.57,-0.000763935087942258,,-0.005648891734378547,,-0.004346786100182243,,-0.005974345457740227,
2016-01-14,67.095,96.6369,72.9725,57.01,0.003824091778202643,,0.0003509207788578994,,0.0075289394039808055,,0.007777974191267356,
2016-01-15,67.4325,97.1095,73.3868,57.25,0.005030181086519203,,0.004890471445172517,,0.0056774812429338795,,0.0042097877565339115,
2016-01-16,67.4325,97.1095,73.3868,57.25,0.0,,0.0,,0.0,,0.0,
2016-01-17,67.4325,97.1095,73.3868,57.25,0.0,,0.0,,0.0,,0.0,
2016-01-18,67.588,96.4819,73.6101,57.68,0.002306009713416879,,-0.006462807449322705,,0.00304278153564419,,0.00751091703056761,
2016-01-19,67.563,96.4192,73.5018,57.37,-0.00036988814582461504,,-0.0006498628240114712,,-0.0014712654920996382,,-0.005374479889043049,
2016-01-20,67.9774,96.2016,74.4828,58.24,0.006133534626940884,,-0.0022568119212771354,,0.013346611919708096,,0.015164720237057727,
